#{"t_start": 1685102687.079138, "env_id": "Taxi-v3"}
r,l,t
-208,103,0.494003
-106,55,0.593
-124,73,0.667035
-70,37,0.859607
-199,103,0.874578
-100,76,1.183578
-13,34,1.331575
-99,102,1.350575
2,19,1.474575
-58,61,1.510575
-62,47,1.655592
-50,62,1.751591
-47,41,1.922591
-24,45,1.948591
2,19,1.973591
-37,49,1.975591
-57,69,2.188591
-86,89,2.321592
-103,106,2.358591
-84,96,2.382591
-66,78,2.577591
-55,76,2.644591
-59,80,2.652591
-54,75,2.774591
-17,38,2.860591
-66,87,2.920099
-84,105,3.2201
-60,63,3.341098
-32,53,3.389097
-54,75,3.427097
-46,67,3.512098
-81,102,3.560097
-36,57,3.823612
-30,51,4.014682
-23,44,4.164651
-65,86,4.266722
-90,111,4.398689
-32,53,4.614722
-85,106,4.700692
-61,82,4.707694
-100,121,4.85969
-99,120,4.885692
-89,110,5.103691
-100,121,5.221688
-48,69,5.229688
-47,68,5.301688
-78,99,5.372688
-38,59,5.484688
-20,41,5.558688
-43,64,5.640197
-38,59,5.690197
-21,42,5.709197
-28,49,5.837197
-78,99,5.994197
-80,101,5.998197
-64,85,6.056197
-30,51,6.226197
-56,77,6.506197
3,18,6.721231
-31,52,6.72323
-79,100,6.830236
-92,113,6.839228
-69,90,6.99123
-98,119,7.009198
-82,103,7.292746
5,16,7.353716
-93,114,7.415714
-72,93,7.477712
-71,92,7.628296
-95,116,7.705293
-88,109,7.789292
-93,114,7.908294
-113,134,8.098291
-90,111,8.190293
-70,91,8.194291
-103,124,8.282291
-43,64,8.370296
-43,64,8.418293
-42,63,8.443292
-6,27,8.604292
-101,122,8.648292
-87,108,8.712291
-82,103,8.797292
-27,48,8.820292
-75,96,8.920292
-89,110,9.365292
-107,128,9.375292
-80,101,9.411292
0,21,9.599291
-85,106,9.627292
-96,117,9.766801
-45,66,9.870801
-83,104,9.925801
-107,128,10.048802
-59,80,10.123801
-60,81,10.140801
-109,130,10.2938
-96,117,10.465801
-44,65,10.472802
5,16,10.482802
-8,29,10.517802
-90,111,10.778801
-73,94,10.802802
-67,88,10.8418
-77,98,10.9958
-70,91,11.027801
-92,113,11.135315
-98,119,11.140314
-55,76,11.148314
-84,105,11.189315
-28,49,11.308311
-55,76,11.513315
-12,33,11.803311
-68,89,11.835311
-66,87,11.877311
-9,30,11.977311
10,11,12.046311
-49,70,12.112311
-23,44,12.154313
-22,43,12.596327
-55,76,12.617327
-14,35,12.619328
-99,120,12.652328
-91,112,12.656327
-44,65,12.723327
-70,91,13.107841
-40,61,13.143841
4,17,13.155871
-53,74,13.617838
-90,111,13.871853
-4,25,14.008853
-13,34,14.145371
-17,38,14.269367
-9,30,14.395369
-51,72,14.474368
-46,67,14.577876
-91,112,14.718876
-42,63,14.852877
-19,40,15.108876
-47,68,15.193383
-31,52,15.531383
-98,119,16.325386
-42,63,17.011922
-76,97,17.150952
-5,26,17.185959
-54,75,17.205922
-21,42,17.303922
-25,46,17.399924
-10,31,17.577922
-76,97,18.373468
-4,25,18.931468
-39,60,18.977469
-45,66,18.984468
-35,56,18.986468
-26,47,19.377467
-46,67,19.920055
-15,36,20.095089
-13,34,20.464056
-59,80,20.907564
-34,55,22.169073
-84,105,23.412595
-30,51,23.708142
-56,77,23.880629
-20,41,24.037624
-25,46,25.076655
-65,86,30.622967
-29,50,35.482644
-40,61,48.405331
9,12,57.468169
-47,68,70.10085
4,17,70.739358
